,Sensor No,Temp,Time
98,17,27.8643,2021-06-01 09:57:12
99,17,27.8643,2021-06-01 09:58:43
100,17,27.8643,2021-06-01 09:59:14
101,17,27.8643,2021-06-01 10:00:58
102,17,27.8643,2021-06-01 10:01:42
103,17,27.8643,2021-06-01 10:02:15
104,17,27.8643,2021-06-01 10:02:37
105,17,27.8643,2021-06-01 10:02:53
106,17,27.8643,2021-06-01 10:03:11
107,17,27.8643,2021-06-01 10:03:23
108,17,27.8643,2021-06-01 10:06:14
109,17,27.8643,2021-06-01 10:06:41
110,17,27.8643,2021-06-01 10:15:34
111,17,27.9145,2021-06-01 10:18:34
112,17,27.9145,2021-06-01 10:21:18
113,17,27.9145,2021-06-01 10:22:04
114,17,27.9145,2021-06-01 10:22:15
115,17,27.9145,2021-06-01 10:22:25
116,17,27.9145,2021-06-01 10:22:33
117,17,27.9145,2021-06-01 10:28:11
118,17,27.9145,2021-06-01 10:28:16
119,17,27.9145,2021-06-01 10:28:21
120,17,27.9145,2021-06-01 10:28:26
121,17,27.9145,2021-06-01 10:28:30
122,17,27.9145,2021-06-01 10:28:35
123,17,27.9145,2021-06-01 10:28:39
124,17,27.9145,2021-06-01 10:28:44
125,17,27.9145,2021-06-01 10:28:48
126,17,27.9145,2021-06-01 10:29:30
127,17,27.9145,2021-06-01 10:29:52
128,17,27.9145,2021-06-01 10:30:03
129,17,27.8792,2021-06-01 10:52:32
130,17,27.8792,2021-06-01 10:55:26
131,17,27.8792,2021-06-01 10:57:29
132,17,27.8792,2021-06-01 10:58:54
133,17,27.8792,2021-06-01 10:59:46
134,17,27.7701,2021-06-01 11:25:52
135,17,27.8112,2021-06-01 11:55:39
136,17,27.8112,2021-06-01 12:01:52
137,17,27.6082,2021-06-01 12:51:26
138,17,27.6082,2021-06-01 12:51:46
139,17,27.6082,2021-06-01 12:54:46
140,17,27.6082,2021-06-01 12:55:26
141,17,27.6082,2021-06-01 12:57:59
142,17,27.6082,2021-06-01 12:58:17
143,17,27.6082,2021-06-01 12:59:01
144,17,27.6082,2021-06-01 12:59:56
145,17,27.6082,2021-06-01 13:01:09
146,17,27.6082,2021-06-01 13:01:19
147,17,27.6082,2021-06-01 13:09:28
148,17,27.6082,2021-06-01 13:10:01
149,17,27.5873,2021-06-01 13:16:44
150,17,27.5873,2021-06-01 13:17:05
151,17,27.5873,2021-06-01 13:17:52
152,17,27.5873,2021-06-01 13:30:40
153,17,27.5873,2021-06-01 13:33:18
154,17,22.2985,2021-06-01 13:35:35
155,17,22.2985,2021-06-01 13:35:49
156,17,27.5873,2021-06-01 13:36:59
157,17,22.2985,2021-06-01 13:39:43
158,17,27.5873,2021-06-01 13:42:16
159,17,27.5873,2021-06-01 13:42:34
160,17,27.5873,2021-06-01 13:43:50
161,17,27.5873,2021-06-01 13:46:10
162,17,27.4485,2021-06-01 13:49:06
163,17,27.4485,2021-06-01 13:49:41
164,17,27.4485,2021-06-01 13:50:38
165,17,27.4485,2021-06-01 13:53:04
166,17,27.4485,2021-06-01 13:55:29
167,17,27.4485,2021-06-01 13:56:46
168,17,27.4485,2021-06-01 14:01:01
169,17,27.4485,2021-06-01 14:01:27
170,17,27.4485,2021-06-01 14:01:49
171,17,27.4485,2021-06-01 14:02:10
172,17,27.4485,2021-06-01 14:02:41
173,17,27.4485,2021-06-01 14:03:10
174,17,27.4485,2021-06-01 14:05:27
175,17,27.4485,2021-06-01 14:05:47
176,17,27.4485,2021-06-01 14:06:38
177,17,27.4485,2021-06-01 14:09:39
178,17,27.4485,2021-06-01 14:09:53
179,17,27.4485,2021-06-01 14:10:54
180,17,27.4485,2021-06-01 14:11:06
181,17,27.4485,2021-06-01 14:11:24
182,17,27.4485,2021-06-01 14:11:36
183,17,27.4485,2021-06-01 14:11:55
184,17,27.5484,2021-06-01 14:21:59
185,17,27.5484,2021-06-01 14:22:19
186,17,27.5484,2021-06-01 14:22:49
187,17,27.5484,2021-06-01 14:23:01
188,17,27.5484,2021-06-01 14:23:13
189,17,27.5484,2021-06-01 14:23:26
190,17,27.5484,2021-06-01 14:23:37
191,17,27.5484,2021-06-01 14:45:19
192,17,27.5484,2021-06-01 14:47:12
193,17,27.5484,2021-06-01 14:47:26
194,17,27.5484,2021-06-01 14:47:56
195,17,27.5484,2021-06-01 14:48:05
196,17,27.5692,2021-06-01 14:51:22
197,17,27.5692,2021-06-01 14:56:59
198,17,27.5692,2021-06-01 14:57:42
199,17,27.5692,2021-06-01 14:58:26
200,17,27.5692,2021-06-01 14:58:55
201,17,27.5692,2021-06-01 14:59:24
202,17,27.5692,2021-06-01 14:59:46
203,17,27.5692,2021-06-01 15:00:23
204,17,27.5692,2021-06-01 15:00:44
205,17,27.5692,2021-06-01 15:01:24
206,17,27.5692,2021-06-01 15:01:36
207,17,27.5692,2021-06-01 15:07:32
